"customer_id","charge_id","trip_id","tap_on_id","tap_on_date","tap_off_id","tap_off_date","original_amount","adjusted_amount","service_type","direction","fare_type","trip_completion"
"cce09b29-9679-4442-8608-e3ebd6d4b6a7","955ebe41-8ebc-431d-b47e-1de03a9000b1","955ebe41-8ebc-431d-b47e-1de03a9000b1","294FCABF06B763DFEF9D07EBE036B9E3FF55BC33","2019-08-09 14:02:58.000",,,"3.00","3.00","bus","inbound","retail_fare","complete"
"cce09b29-9679-4442-8608-e3ebd6d4b6a7","704fa471-9b8a-49e3-820f-23c952b70634","704fa471-9b8a-49e3-820f-23c952b70634","DD11C3C6DA5B315F9D0CB9419971BAFD1F739160","2019-06-16 05:52:01.000",,,"1.50","1.50","bus","outbound","retail_fare","complete"
"cce09b29-9679-4442-8608-e3ebd6d4b6a7","b215446f-d3f6-430a-bfcf-2b85e6ab967c","81e6196d-593f-4880-81e3-b00c30e144cd","436460362CC9FE827C422BF31A6248874B3EE2D6","2019-08-14 14:41:57.000",,,"2.50","2.50","bus","inbound","retail_fare","complete"
"72c4422d-4c9f-4484-8f8e-be57d03bd053","82adc4d6-efef-467a-a9cb-12c36f9cf140","82adc4d6-efef-467a-a9cb-12c36f9cf140","18E637167E49C0DCD012D24B163D471CEBB3AB7F","2019-06-14 16:01:01.000",,,"2.50","2.50","bus","outbound","retail_fare","complete"
"4178c0f2-cc5f-408e-b013-be6a299ce019","1386d924-6242-4737-b1eb-dbf613f2ed0e","1386d924-6242-4737-b1eb-dbf613f2ed0e","1B8C25294DBCFF462AE0D046AA51EB0FF48ABEDA","2019-06-15 12:35:57.000",,,"1.70","1.70","bus","outbound","retail_fare","complete"
"d9578716-d5fd-43e5-9efb-cd2cab3981c1","794c726e-3879-4811-bc78-751fed3ba31f","794c726e-3879-4811-bc78-751fed3ba31f","1E112F0ACC75914451507AB2DA7F92ED98989B1C","2019-08-06 06:43:56.000",,,"2.50","2.50","bus","outbound","retail_fare","complete"
"d9578716-d5fd-43e5-9efb-cd2cab3981c1","53741156-fcf3-4796-9ea6-d94d766a9f59","53741156-fcf3-4796-9ea6-d94d766a9f59","5E5A3C93DC380E0644E94F8B7D90E00E9CFF2D12","2019-07-05 19:14:49.000",,,"2.50","2.50","bus","inbound","retail_fare","complete"
"d9578716-d5fd-43e5-9efb-cd2cab3981c1","794c726e-3879-4811-bc78-751fed3ba31f","5a490fb9-5ca1-4eea-96f8-70ae1814f3b9","5C39854C0AC6B4772520A83335A122338A3878F1","2019-08-06 16:07:24.000",,,"2.50","2.50","bus","inbound","retail_fare","complete"
"5ade89b5-dfd1-46a1-b15c-5303599cfeaa","728a7cb1-ae6c-44a7-be2a-68493118524f","728a7cb1-ae6c-44a7-be2a-68493118524f","65BDC76BD93B4D4C18EB0AB3B6B3242709D0D40F","2019-08-17 22:27:41.000",,,"2.50","2.50","bus","outbound","retail_fare","complete"
"07d0e0a4-de9e-4c94-8b6c-55688d405432","22bcf2a8-7da4-4f78-82b1-482d48743e63","22bcf2a8-7da4-4f78-82b1-482d48743e63","E0750B44290DCF76593E4F3417919DDFD5D045B6","2019-09-21 08:53:06.000",,,"3.70","3.70","bus","inbound","retail_fare","complete"
